,publication_number,publication_date,country_code,family_id,title_text,abstract_text,uspc_code,cpc_code,ipc_code,refs,embedding_v1,valid
0,US-7994462-B2,20110809,US,46332059,Vehicular image sensing system,A vehicular image sensing system includes an imaging sensor having a forward field of view to the exterior of and through the windshield of an equipped vehicle. The imaging sensor is operable to capture image data and the image sensing system includes a control having an image processor. The image sensing system identifies objects of interest in the forward field of view of the image sensor via processing of the captured image data by the image processor. Identification of objects of interest may be enhanced by comparing objects over successive frames of captured image data. Objects of interest may be qualified and/or disqualified based at least in part on object motion in the field of view of the imaging sensor. The image processing may include pattern recognition.,"['250/208.1', '382/104.']","['B60Q2300/312', 'G06K9/00791', 'B60Q2400/30', 'G06K9/2018', 'B60Q1/14', 'B60Q1/143', 'H04N7/18', 'G05D2201/0213', 'G05D1/0244', 'B60Q2300/41', 'B60Q2300/3321', 'G06K9/00825', 'B60Q2300/42', 'B60Q2300/052', 'G06K9/00818', 'B60Q2300/314']",['B60Q1/02'],"['US-4249160-A', 'US-2004051634-A1', 'US-5307136-A', 'US-6822563-B2', 'US-4200361-A', 'US-5781437-A', 'US-5550677-A', 'US-4991054-A', 'US-4937796-A', 'US-6172613-B1', 'EP-0492591-A1', 'US-4692798-A', 'US-6097023-A', 'US-2007109652-A1', 'DE-3041612-C1', 'US-5675489-A', 'US-5121200-A', 'US-4281898-A', 'JP-2630604-B2', 'US-4867561-A', 'EP-0416222-A2', 'US-5410346-A', 'US-4630109-A', 'US-4872051-A', 'US-5537003-A', 'US-4288814-A', 'US-3141393-A', 'US-6302545-B1', 'US-5457493-A', 'US-6534884-B2', 'US-5963247-A', 'US-5325096-A', 'US-5867591-A', 'US-6066933-A', 'US-5451822-A', 'US-4967319-A', 'US-2007109651-A1', 'US-2005219852-A1', 'EP-0202460-B1', 'US-5796094-A', 'JP-6107035-B2', 'US-4529275-A', 'US-5208701-A', 'US-4571082-A', 'US-4111720-A', 'US-5471515-A', 'US-4892345-A', 'DE-3248511-A1', 'US-2007120657-A1', 'FR-2672857-B1', 'US-5184956-A', 'US-5386285-A', 'US-5765116-A', 'GB-1535182-A', 'US-6559435-B2', 'US-4825232-A', 'US-3746430-A', 'US-5016977-A', 'US-6802617-B2', 'US-4669826-A', 'US-5760931-A', 'US-4443057-A', 'US-4512637-A', 'FR-2585991-A3', 'US-5406395-A', 'US-5660454-A', 'US-5661303-A', 'US-4632509-A', 'DE-4118208-A1', 'US-5416318-A', 'US-5848802-A', 'US-6020704-A', 'US-2007023613-A1', 'US-5027001-A', 'JP-4114587-B2', 'US-5444478-A', 'US-5670935-A', 'US-5530420-A', 'US-6553130-B1', 'US-4247870-A', 'US-5498866-A', 'US-4910591-A', 'US-5990469-A', 'US-5182502-A', 'US-4529873-A', 'US-5424952-A', 'US-5515448-A', 'US-6650233-B2', 'US-4881019-A', 'US-5757949-A', 'US-4917477-A', 'US-5331312-A', 'US-5336980-A', 'US-5055668-A', 'US-6201642-B1', 'JP-6154942-B1', 'US-5793420-A', 'US-5426294-A', 'US-5124549-A', 'US-4214266-A', 'GB-2137373-A', 'US-4727290-A', 'US-5469298-A', 'US-5896085-A', 'US-5614788-A', 'US-6424273-B1', 'US-7062300-B1', 'US-6831261-B2', 'JP-5630305-B2', 'US-5325386-A', 'US-5528698-A', 'US-5845000-A', 'GB-2327823-A', 'US-5529138-A', 'US-5638116-A', 'US-4355271-A', 'US-5059877-A', 'US-5086253-A', 'US-5555555-A', 'US-4847772-A', 'US-5170374-A', 'US-4690508-A', 'US-4614415-A', 'US-5245422-A', 'JP-6080953-B2', 'US-4987357-A', 'EP-0830267-B1', 'US-5541590-A', 'US-4895790-A', 'US-2002015153-A1', 'JP-5951301-B2', 'EP-0513476-A1', 'US-5253109-A', 'US-2007109406-A1', 'US-5044706-A', 'US-5760826-A', 'US-6891563-B2', 'US-3986022-A', 'US-4357558-A', 'US-2006018511-A1', 'US-5760962-A', 'US-6433676-B2', 'US-5461361-A', 'US-4896030-A', 'US-5949331-A', 'US-6320176-B1', 'US-5568027-A', 'US-4093364-A', 'US-2632040-A', 'US-4236099-A', 'FR-2241085-A1', 'US-6049171-A', 'DE-4139515-A1', 'US-2007176080-A1', 'JP-3284413-B2', 'US-5530771-A', 'GB-2119087-A', 'US-4820933-A', 'US-7227459-B2', 'US-6144022-A', 'US-5475494-A', 'US-5193029-A', 'US-4789904-A', 'US-5414461-A', 'US-6124886-A', 'US-5510983-A', 'US-5850254-A', 'US-4713685-A', 'GB-2255539-A', 'US-3962600-A', 'US-6636258-B2', 'US-4431896-A', 'US-4701022-A', 'US-2006028731-A1', 'US-2006018512-A1', 'US-5634709-A', 'US-5341437-A', 'US-4956591-A', 'US-6523964-B2', 'GB-2029343-A', 'US-5148014-A', 'US-5414257-A', 'DE-3041692-A1', 'US-4580875-A', 'US-4768135-A', 'FR-2673499-B1', 'US-5461357-A', 'US-5276389-A', 'US-6411328-B1', 'US-4671615-A', 'US-2004114381-A1', 'US-5648835-A', 'US-4037134-A', 'US-3811046-A', 'US-4481450-A', 'US-4891559-A', 'US-6097024-A', 'US-4572619-A', 'US-6611202-B2', 'US-6717610-B1', 'US-6396397-B1', 'US-5837994-A', 'US-3985424-A', 'US-4277804-A', 'US-4549208-A', 'FR-2513198-A1', 'US-4961625-A', 'US-5487116-A', 'US-5351044-A', 'US-6975775-B2', 'US-5001558-A', 'US-5923027-A', 'US-5012082-A', 'US-4970653-A', 'US-3601614-A', 'US-5168378-A', 'US-5790403-A', 'US-3680951-A', 'US-2007109653-A1', 'US-4629941-A', 'US-5313072-A', 'EP-0450553-A2', 'GB-2137573-A', 'US-3665224-A', 'US-5430431-A', 'US-2002126875-A1', 'US-5555312-A', 'US-4460831-A', 'US-5959555-A', 'US-4266856-A', 'US-5535314-A', 'US-4793690-A', 'JP-6156638-B2', 'US-4620141-A', 'US-4731669-A', 'FR-2641237-A1', 'US-4653316-A', 'US-5837994-C1', 'US-6313454-B1', 'US-4697883-A', 'US-4669825-A', 'US-6084519-A', 'US-4381888-A', 'US-2004200948-A1', 'US-6498620-B2', 'US-5440428-A', 'US-5883739-A', 'DE-2133182-A1', 'US-5798575-A', 'DE-4123641-A1', 'US-5877897-A', 'DE-4107965-A1', 'US-5539397-A', 'US-3689695-A', 'DE-2808260-A1', 'US-6442465-B2', 'US-4741603-A', 'US-4052712-A', 'GB-934037-A', 'US-5844682-A', 'US-7459664-B2', 'US-4886960-A', 'US-5072154-A', 'US-2007109654-A1', 'US-5890021-A', 'US-5574443-A', 'US-4676601-A', 'US-6087953-A', 'EP-0788947-B1', 'US-4603946-A', 'US-2005200700-A1', 'US-5355118-A', 'US-5289182-A', 'US-3813540-A', 'US-5850176-A', 'JP-5213113-B2', 'US-5793308-A', 'US-4862037-A', 'US-4974078-A', 'US-5027200-A', 'US-6672731-B2', 'US-4871917-A', 'US-5289321-A', 'US-3807832-A', 'US-4916374-A', 'US-5374852-A', 'US-5650944-A', 'US-6243003-B1', 'US-5627586-A', 'US-4161653-A', 'US-4626850-A', 'US-3947095-A', 'US-3708231-A', 'US-4420238-A', 'US-2827594-A', 'GB-2156295-B', 'US-5064274-A', 'US-5172235-A', 'US-3862798-A', 'US-4623222-A', 'US-4838650-A', 'US-4672457-A', 'US-6222447-B1', 'US-2006091813-A1', 'US-5204778-A', 'US-5760828-A', 'FR-2726144-B1', 'US-2005146792-A1', 'US-4647161-A', 'US-5003288-A', 'DE-2946561-A1', 'GB-2244187-A', 'US-3612666-A', 'US-5305012-A', 'US-4491390-A', 'US-4817948-A', 'US-5329206-A', 'US-6953253-B2', 'US-5096287-A', 'EP-0426503-A1']","[-0.11450491, -0.0067693773, -0.33991763, -0.3417699, -0.15176317, 0.2507376, 0.008205177, -0.031457994, 0.15760024, 0.043937832, 0.104820505, 0.21217571, 0.020168109, 0.057497505, -0.10922003, -0.003729626, 0.00235711, 0.16284664, -0.045344573, 0.1472112, -0.0047470992, 0.025149101, -0.06383803, 0.095310114, -0.039603963, -0.03600298, 0.1937378, 0.08931916, -0.03156466, -0.12371157, -0.0059633357, -0.03831412, -0.02406851, -0.09520744, -0.11471428, -0.08525937, 0.21577798, -0.19137831, 0.03621939, 0.18814497, 0.11150047, 0.033767525, -0.05866862, 0.16890395, 0.10306189, -0.057495788, -0.01644046, -0.07030795, -0.05073685, -0.0128922695, 0.035887796, -0.13529184, -0.14905335, 0.08067139, 0.05233561, -0.08236101, 0.18993692, 0.18830943, -0.1332949, 0.0039273403, 0.049296197, 0.2646839, 0.024477284, -0.034902707]",True
1,US-2012102104-A1,20120426,US,45973884,Matching items of user-generated content to entities,"A method, apparatus, and computer-readable medium are provided for matching items of user-generated content to entities is provided. Items of user-generated content, such as status updates, are gathered. For each of the items, a machine determines a degree to which the item is associated with an entity. In one aspect, items are matched to an entity by matching the content of the items to attributes of the entity. In another aspect, items are matched to an entity by predicting attributes of an author of the items and determining a distance between the predicted attributes of the author and the attributes of the entity. The distance may be a physical distance between locations of the entity and user or a contextual distance between categories for the entity and posts by the author. Items matched to the entity may be displayed on an interface concurrently with information about the entity.","['707/E17.089', '707/740.', '707/758.', '709/204.', '707/E17.014']","['G06Q30/06', 'G06F17/30867', 'G06Q50/01']","['G06F17/30', 'G06F15/16']","['US-2011004831-A1', 'US-2009320119-A1']","[0.07820584, -0.10245147, -0.076388255, 0.105991885, -0.23787014, -0.17766793, 0.060133167, -0.02791452, 0.1255496, 0.020114193, -0.114811614, 0.11191702, 0.12114178, -0.101653874, -0.08287143, 0.035062302, 0.05555071, 0.17783895, -0.03971927, 0.15498582, 0.15734693, 0.18667766, -0.046674863, -0.019490805, -0.025384579, 0.08413834, 0.3243035, 0.20652719, 0.19877203, 0.0318188, 0.12121888, 0.17380764, 0.08752626, 0.002266055, -0.053649805, -0.07469942, 0.041891187, -0.031306207, 0.07079793, -0.0894911, -0.0884565, -0.0644287, 0.05275598, 0.24423426, -0.11643333, -0.06662619, 0.008003952, 0.14107774, -0.17193857, 0.11094833, -0.20641464, 0.10709095, 0.095555864, 0.032602955, -0.019411733, 0.11869621, 0.08253254, -0.09211572, -0.019169657, 0.050501782, -0.063104875, 0.30649117, -0.039840896, 0.2297003]",False
2,US-8009868-B2,20110830,US,38471528,Method of processing images photographed by plural cameras and apparatus for the same,"The invention provides a display method of processing images photographed by plural cameras and an apparatus for the same, which synthesizes the images by plural cameras mounted on a vehicle for photographing the surroundings thereof and makes it possible to display an easily viewable three-dimensional object near the vehicle, as if one camera were positioned above the vehicle. An image capture unit captures images photographed by plural cameras that photograph the surroundings of a vehicle. An upper observation point image processing unit synthesizes the captured images into an image viewed as from above the vehicle. An image intensity/chrominance determination unit detects an area wherein the displayed image varies from other areas in the synthesized image based on the intensity/chrominance thereof. When the intensity or the chrominance of the area is continuously varying, a three-dimensional object detection unit determines the detected area as a three-dimensional object. A three-dimensional object display processing is performed regarding the detected three-dimensional object image, using either an ordinary image display or a two-observation point image display. This three-dimensional object display image is associated with an upper observation point image at a base front end of the three-dimensional object by an image connecting synthesizing unit, and the associated image is displayed.","['382/154.', '340/461.', '348/148.', '382/104.']","['H04N7/181', 'G06K9/00805']",['G06K9/00'],"['JP-2003204547-A', 'US-2003222983-A1', 'US-7145519-B2', 'US-6911997-B1', 'JP-2004056219-A', 'US-7161616-B1', 'US-6593960-B1', 'US-7576767-B2', 'US-7076345-B2', 'US-2007296874-A1', 'US-2004201754-A1', 'US-2005264527-A1', 'JP-2003309844-A', 'US-7502048-B2', 'US-2004184638-A1']","[0.06476172, -0.04812014, -0.15686211, -0.2032477, -0.37946308, 0.06436083, -0.028218457, -0.091737814, 0.04151882, 0.010294556, 0.024974704, 0.326666, 0.065197214, -0.032276634, -0.15601228, 0.12845097, -0.0015144075, 0.074422434, 0.03241027, 0.08469827, 0.011764552, 0.026486097, -0.21488579, 0.23920256, 0.0040803617, -0.10335659, 0.042168286, 0.24270903, 0.007881028, -0.017274708, 0.11459841, 0.06747443, -0.04019947, 0.022409497, -0.08448391, -0.054991953, 0.14948902, -0.12265778, -0.10333214, 0.17400403, -0.015907476, -0.18831733, -0.06632465, 0.059601106, 0.10083537, -0.021033404, 0.09388166, -0.2001597, -0.025922304, -0.14351311, 0.007715028, 0.05238957, -0.14692913, 0.06034647, 0.08114543, -0.08056962, 0.102837875, 0.26139566, -0.08275412, -0.01755914, -0.123330906, 0.18287638, -0.09538393, 0.086773515]",True
3,US-2013141318-A1,20130606,US,48178830,Gate driving circuit and display apparatus having the same,"A gate driving circuit is provided which includes a plurality of stages cascade-connected with each other and outputting a plurality of gate signals. An n-th (n is a natural number) stage includes a gate output part, a first node control part and a carry part. The gate output part includes a first transistor. The first transistor outputs a high voltage of a clock signal to a high voltage of an n-th gate signal in response to a high voltage of a control node. The first node control part is connected to the control node to control a signal of the control node and includes at least one transistor having a channel longer than the channel length of the first transistor. The carry part outputs the high voltage of the clock signal to an n-th carry signal in response to the signal of the control node.","['345/87.', '327/109.']","['G09G2310/08', 'G11C19/28', 'G09G2310/0291', 'G09G3/3677', 'H03K17/693', 'G09G2310/0251', 'G09G2300/0426', 'G09G3/3688', 'G09G3/36']","['H03K17/693', 'G09G3/36']",['US-2010277206-A1'],"[-0.03089902, -0.01918899, -0.13700588, -0.16890863, -0.18244286, -0.14243779, 0.18843377, -0.18910064, 0.10034848, 0.001928067, 0.057572525, 0.20968051, 0.05627153, 0.027716791, -0.10301532, 0.1628645, 0.21357618, 0.0529491, -0.05141407, 0.13152267, 0.2896946, -0.011718866, -0.1954995, 0.1728566, 0.04800014, -0.032925278, 0.16937816, -0.03937112, 0.14505206, 0.01054699, -0.003244304, -0.17163171, 0.015415533, -0.17503569, 0.0056758267, -0.06736961, 0.19183485, -0.035496973, 0.19229156, -0.057242732, -0.034270655, -0.17692915, 0.24914803, 0.08126552, -0.011851516, 0.08684466, -0.05036453, 0.03927422, 0.123216234, -0.07664924, -0.05997754, 0.1107183, -0.12680027, 0.014380065, -0.0013948987, -0.09480852, -0.07704638, -0.003207482, -0.22844379, -0.015106668, 0.05435066, 0.10145962, 0.042804476, 0.24705364]",False
4,US-3969895-A,19760720,US,23914274,Power control valve attachment for two cycle motorcycle type engine exhaust systems,A power control valve attachment is provided for assembly to a pre-existing exhaust system of a two cycle motorcycle type engine for effecting a back pressuring of the engine cylinder chambers during operation of the engine and includes an assembly of pressure plate and spring biasing means and means for mounting the assembly in the exhaust system duct at a minimum cross sectional area thereof for axial deflective movement under the pressure of the exhaust gases.,"['60/312.', '60/324.', '123/65.EM', '181/278.']","['F02B61/02', 'F02B2075/025', 'Y02T10/146', 'F02B27/06']","['F02B61/02', 'F02B75/02', 'F02B27/06']","['FR-714192-A', 'US-1163128-A', 'US-2044839-A', 'US-3786791-A', 'US-3817227-A', 'US-3346071-A', 'US-2542756-A', 'US-3726092-A']","[-0.17665924, -0.20017539, 0.03575715, 0.03436334, 0.061559897, 0.022459734, -0.04224368, 0.11390659, 0.3391994, 0.14206162, 0.20188412, 0.14099212, 0.12716912, -0.04308464, 0.05789648, -0.1674779, 0.13024731, 0.0060325456, -0.037651226, 0.2580165, -0.0626481, -0.11972006, -0.028751295, -0.12653343, 0.067087196, -0.1855902, 0.108835235, 0.0012797337, 0.2136973, -0.05293531, -0.14147851, -0.019187076, -0.1537682, 0.006296031, -0.15451382, 0.0028558662, 0.24894667, -0.16276248, 0.069567315, 0.1679009, 0.030590149, -0.1521431, 0.027438855, 0.10895207, 0.05094958, -0.08233532, 0.002480846, -0.17263266, -0.030330421, -0.11548915, 0.06901975, 0.06236101, 0.10225775, -0.114946365, -0.014802496, -0.23044719, 0.010723233, 0.009732791, 0.20344473, 0.022118185, -0.014963474, 0.13296138, -0.13161883, 0.0017324582]",False
5,US-4545001-A,19851001,US,24396230,Sealed lens member for use in a motor vehicle lighting system,"A lens member for use in a motor vehicle and adapted for being mounted in a recess within a front, contoured surface of the motor vehicle. The system especially designed for using the invention includes a plurality of separate lighting modules, each in turn including a light source and reflector means. The lens member comprises a hollow, enclosed, single piece lens element having a front, clear surface positioned to coincide with the vehicle&#39;s front, contoured surface so as to enhance aerodynamic performance of the lighting system (as well as the vehicle), a rear lensing portion positioned substantially at a predetermined angle (i.e., 0 to 30 degrees) relative to the front, planar surface of the modules located adjacent thereto, and side and bottom walls for enclosing the lens member to provide a sealed, dirt-free component.","['362/332.', '362/244.', '362/340.', '362/521.', '362/522.', '362/240.', '362/330.']","['F21S41/00', 'F21S41/28', 'F21S41/14', 'B60Q1/0005', 'F21S41/162']","['F21V5/00', 'F21S8/12', 'B60Q1/04', 'F21S8/10', 'F21V14/06', 'F21V14/02']","['US-4329738-A', 'US-4459644-A']","[-0.084187515, -0.086361386, -0.07022025, -0.38075796, -0.031632766, 0.17507386, -0.047918472, -0.026311243, 0.23292847, -0.02156428, 0.015917495, 0.14879014, 0.0083155995, -0.016596472, -0.07603011, -0.07419107, 0.12448241, 0.1339185, -0.13527074, 0.07910996, -0.28400606, 0.085820325, -0.10968202, -0.08400589, 0.07503547, 0.061342523, 0.15161552, 0.15174107, -0.07057248, 0.03342198, -0.04651423, -0.019034056, 0.065933295, 0.008434411, -0.03448309, -0.10345942, -0.009684301, -0.31141037, 0.118956484, 0.15752415, 0.013340721, 0.04271453, 0.24345666, 0.08064314, 0.07889047, 0.00649172, -0.14065425, -0.1009236, 0.011786432, -0.1353013, -0.087193154, -0.14377514, -0.13318941, 0.13896137, 0.068898566, -0.24834567, 0.13879345, -0.029128976, -0.12980995, -0.10264292, 0.010104013, 0.030468302, -0.14124316, -0.0894944]",False
6,US-7501489-B2,20090310,US,22072193,"cDNAs and proteins involved in hypoxia, circadian and orphan signal transduction pathways, and methods of use","The present invention provides isolated nucleic acids and proteins that are new and distinct members of the bHLH-PAS superfamily of transcription regulators. These “MOPs” (members of PAS) are useful in a variety of research, diagnostic and therapeutic applications. Several of the MOPs of the present invention are α-class hypoxia-inducible factors. Several other of the MOPs of the invention are involved in circadian signal transduction.",['530/350.'],['C07K14/4702'],"['C07K14/47', 'C07K17/00', 'C12N15/12', 'C07H21/04']","['WO-9831804-A1', 'US-5840532-A', 'US-5650283-A', 'US-5695963-A', 'WO-9928464-A2']","[0.09583861, -0.2247893, -0.049342956, -0.038392387, -0.20975439, 0.19397391, -0.0319248, 0.11536343, 0.05889084, 0.12725618, 0.05359541, -0.04835559, 0.11226857, 0.054946274, -0.0005835412, 0.20846368, 0.15681121, 0.014547251, -0.045086883, -0.1028741, -0.079531, -0.19403002, -0.10465907, -0.10036292, -0.102580406, -0.15036573, 0.25619373, 0.20398887, 0.08236019, 0.18305415, 0.099623285, -0.037110955, 0.033858214, -0.15113081, -0.123793006, 0.067448124, -0.0073673404, -0.25234362, 0.0048351777, -0.07975832, 0.05824975, -0.21354839, -0.0507248, 0.037646968, 0.00636203, 0.052623354, -0.16874166, 0.14900625, -0.07904637, -0.121523164, -0.08094845, -0.024134245, -0.15159267, -0.04442671, 0.10143869, -0.16322105, 0.15038905, 0.048707742, 0.07121928, 0.27303421, 0.025043873, 0.04190709, -0.1674452, 0.12870614]",False
7,US-7688836-B1,20100330,US,37569511,"Method and system for establishing a cross-carrier, multilayer communications path","A method and system is provided for establishing a secure intercarrier, interlayer communications path that can allocate bandwidth on demand. Using the present invention, one network carrier uses the resources of another carrier to communicate with an otherwise unreachable target component. As bandwidth capacity is reached, the intercarrier connection can be dynamically migrated to a lower network layer. Transmissions of the upper layer are mapped into the lower layer to satisfy the additional bandwidth requested by the connection.","['370/469.', '370/401.']","['H04L47/125', 'H04L45/50', 'H04L47/10', 'H04L41/0896', 'H04L45/62']",['H04L12/28'],"['US-2003026406-A1', 'US-6873858-B1', 'US-7154900-B1', 'US-6820117-B1', 'US-6049531-A', 'US-6310862-B1', 'US-2003093526-A1']","[-0.06601325, -0.25074062, 0.07582924, -0.14202122, -0.12660003, 0.021714065, -0.055220712, -0.00063910236, -0.015459861, 0.012064903, 0.13394266, 0.029401671, 0.002367572, -0.0035705029, 0.026438428, -0.036621287, 0.18566772, 0.0008476035, -0.13004911, 0.13864209, 0.18455781, 0.11556197, -0.113492325, 0.06030385, -0.012239674, -0.08874305, 0.11100506, 0.0016293832, -0.055659123, -0.028489111, -0.21140993, -0.018987535, -0.12508444, -0.03812205, -0.22516184, -0.12689191, 0.044460036, -0.14840959, -0.045800623, 0.11401897, -0.11681218, 0.17477192, -0.05105232, -0.06217299, 0.2186378, 0.068738505, 0.05685228, -0.026685694, -0.17418034, 0.06661109, -0.33289957, 0.10232656, -0.01868365, 0.00094875594, -0.15221259, 0.09189904, 0.0305394, -0.21014939, -0.16796215, -0.11156028, 0.22275925, 0.17450337, -0.10074831, 0.2608794]",False
8,US-2011149255-A1,20110623,US,44150603,Lithographic Apparatus and Method,A lithographic apparatus is provided with a sensor. The sensor comprises a frame that defines a space that is crossed multiple times by wire. Detection electronics are connected to the wire and configured to detect a change of temperature of the wire due to infrared radiation being incident upon the wire. The detection electronics are further configured to provide an output signal in the event that a change of temperature of the wire is detected.,['355/30.'],"['G03F7/70525', 'G03F7/7085', 'G03F7/70575', 'G03F7/70191']",['G03B27/52'],"['US-2003071215-A1', 'US-2006063291-A1']","[-0.2817422, 0.018938348, -0.08501607, -0.098538086, -0.020284876, -0.14382492, -0.11813819, -0.05501393, 0.25459343, 0.035705063, -0.15870826, 0.070192195, 0.19559377, -0.21406433, -0.3239975, -0.038743574, 0.11221887, 0.053009, -0.12616426, 0.13125993, 0.14077364, -0.008411411, -0.100470275, 0.082311004, 0.023426425, -0.05452239, 0.258358, -0.00293171, -0.017100306, -0.042238604, 0.13176149, -0.08883197, 0.11196443, 0.07551806, -0.07600248, -0.051435117, -0.03503081, -0.020654015, 0.18798463, -0.024826584, -0.087016895, -0.108702056, 0.007007428, -0.068230115, 0.122511804, 0.15155584, -0.20243032, -0.2008879, 0.0491866, -0.11759789, -0.19168307, 0.03319566, -0.10205743, -0.039301135, -0.028978502, -0.08337601, 0.08535372, 0.12554759, -0.1903368, 0.14124227, 0.048881523, 0.17450526, -0.042823393, 0.012150769]",False
9,US-6456730-B1,20020924,US,15949263,Moving object detection apparatus and method,A plurality of images are inputted in time series. A vanishing point detection section detects a vanishing point at which a plurality of lines substantially concentrate from each input image. A concentration line elimination section eliminates the plurality of lines from the each input image according to a position of the vanishing point. A moving object detection section detects a moving object from the each input image in which the plurality of lines are eliminated.,"['382/107.', '382/103.']","['G06K9/00798', 'G06K9/00805', 'G06K9/3241', 'G06T7/246', 'G06K2209/23']","['G06T1/00', 'G06T7/20']","['US-5243663-A', 'JP-H07110864-A', 'US-5889878-A', 'US-6141435-A', 'US-5282045-A']","[0.01795402, 0.10640455, -0.2685824, -0.1627037, -0.31654847, 0.13024685, 0.065648325, 0.03178541, 0.14787215, -0.01094904, -0.10909311, 0.24245904, 0.03374643, 0.022073653, -0.08703283, 0.003068208, -0.030244667, 0.1495303, 0.03716613, 0.16816622, -0.041759327, 0.06522941, -0.19829573, 0.07586553, -0.0054339767, 0.1421917, 0.25307715, 0.06312295, 0.07015353, 0.031464502, 0.032262605, -0.113505006, -0.071211435, -0.031125924, -0.07333298, -0.16412058, 0.095032595, -0.012692105, 0.047441892, 0.23718034, -0.06727807, -0.24979535, -0.114061095, 0.1829926, 0.03297188, -0.15198185, 0.018002508, 0.08646802, 0.07249253, -0.04871409, -0.080076955, 0.07150552, 0.025462762, 0.049430426, -0.052791838, 0.09167162, 0.122636236, 0.2118512, -0.13993084, 0.061839823, -0.051065274, 0.19468275, -0.11330186, 0.17799838]",True
