,publication_number,publication_date,country_code,family_id,title_text,abstract_text,uspc_code,cpc_code,ipc_code,refs,embedding_v1,valid
0,US-8611015-B2,20131217,US,48426619,User interface,"A head-mounted display (HMD) may include an eye-tracking system, an HMD-tracking system and a display configured to display virtual images. The virtual images may present an augmented reality to a wearer of the HMD and the virtual images may adjust dynamically based on HMD-tracking data. However, position and orientation sensor errors may introduce drift into the displayed virtual images. By incorporating eye-tracking data, the drift of virtual images may be reduced. In one embodiment, the eye-tracking data could be used to determine a gaze axis and a target object in the displayed virtual images. The HMD may then move the target object towards a central axis. The HMD may also record data based on the gaze axis, central axis and target object to determine a user interface preference. The user interface preference could be used to adjust similar interactions with the HMD.","['359/13.', '359/630.']","['G06F3/013', 'G02B27/0093', 'G06F3/012', 'G06F3/04847', 'G06K9/00604', 'G06F3/0485', 'G02B27/0172', 'G02B2027/0187', 'A61B3/113', 'G01S17/66', 'G02B27/017']","['G03H1/00', 'G02B27/14']","['KR-20100006652-A', 'US-2004174496-A1', 'US-2003098954-A1', 'US-2002180799-A1', 'US-6307526-B1', 'US-2006110008-A1', 'US-2006082542-A1', 'KR-20040027764-A', 'US-2003020755-A1']","[0.019207887, -0.24259087, -0.04385631, -0.18292312, -0.0937107, -0.1747544, 0.12355884, 0.009175369, 0.0282428, -0.034660593, -0.09263472, 0.24353577, 0.23415574, -0.09040397, -0.041603453, 0.08303492, 0.11184945, -0.01051367, 0.0448769, -0.007368864, 0.061877765, 0.17171957, -0.15974282, 0.20091495, 0.065777615, 0.026199378, 0.24294168, 0.24759625, 0.064676054, 0.10017252, 0.1871849, -0.033548646, -0.07594653, 0.061651867, -0.16091312, -0.1884401, 0.08722783, -0.016205888, -0.0452499, -0.04109301, -0.112513505, -0.07902174, -0.0016473373, 0.06551448, 0.08372304, -0.037045103, -0.04220272, -0.22643638, 0.009903081, 0.0016320031, -0.041462164, -0.17498799, -0.068658195, 0.04717259, -0.14720288, -0.12831263, 0.21501534, 0.28880692, -0.045036092, 0.04891852, -0.031314388, 0.1666936, -0.051886804, 0.09669431]",True
1,US-8854040-B2,20141007,US,45443472,Method for magnetic resonance imaging based on partially parallel acquisition (PPA),"In a method and system for magnetic resonance imaging of an examination subject on the basis of partially parallel acquisition (PPA) with multiple component coils, a calibration measurement is implemented in a first time period and an actual measurement for the imaging is implemented in a subsequent second time period. In the calibration measurement, calibration data for predetermined calibration points in spatial frequency space are acquired with the multiple component coils. In the actual measurement, incomplete data sets are respectively acquired in spatial frequency space with each of the multiple component coils. Complete data sets are reconstructed from the incomplete data sets and the calibration data. The first time period and the second time period are different, and the measurements are implemented when triggered in the two time periods. An essentially identical state of the examination subject or of the measurement system is used as a trigger.","['600/413.', '324/309.']","['G01R33/5611', 'G01R33/5676', 'G01R33/5673']","['G01R33/567', 'G01V3/00', 'G01R33/561']","['US-2008303521-A1', 'US-2005134272-A1', 'US-7609058-B2', 'US-6144201-A', 'US-6268730-B1', 'US-8073522-B2', 'US-7649354-B2']",",",False
2,US-5804366-A,19980908,US,23523938,Method and apparatus for sodding microvessel cells onto a synthetic vascular graft,"An apparatus for sodding onto the inner lumenal surface of a synthetic graft of harvested and concentrated microvessel endothelial cells from liposuctioned fat tissues, which harvested cells are formed into a &#34;pellet&#34; of isolated endothelial cells in loose aggregations, includes a sodding tube having a single rigid outer wall bounding a sodding chamber. A filter pack assembly is provided to communicate the pellet of cells from a processing vessel to the graft. This filter pack assembly includes a series of successively finer filter members cooperatively defining a series of turbulent-flow chambers in which aggregations of cells too large to pass through a particular filter are exposed to liquid flow turbulence which is effective to break up the aggregations. A check valve assembly ensures that liquid flow is unidirectional so that sodding of the cells onto the inner lumenal surface of the graft is not interfered with by possible liquid reflux, and sodded cells are similarly not dislodged from the graft by such liquid reflux.","['600/36.', '435/283.1', '435/297.2', '435/1.1', '435/401.', '435/284.1', '623/921.', '435/395.']","['A61F2/062', 'Y10S623/921', 'A61L27/507']","['A61L27/50', 'C12N5/08', 'A61F2/06']","['US-4990131-A', 'EP-0446450-A1', 'WO-9416099-A1', 'WO-9501419-A1', 'US-5356814-A', 'US-5441539-A', 'US-5364790-A', 'US-5380589-A', 'US-3941317-A', 'US-5035708-A', 'WO-8903875-A1', 'US-5390859-A', 'US-4350768-A', 'US-4820626-A', 'US-5372945-A', 'US-5171261-A', 'US-5409833-A', 'US-RE19298-E']",",",False
3,US-7295137-B2,20071113,US,39112876,Data encoding and decoding using Slepian-Wolf coded nested quantization to achieve Wyner-Ziv coding,"A system and method for realizing a Wyner-Ziv encoder may involve the following steps: (a) apply nested quantization to input data from an information source in order to generate intermediate data; and (b) encode the intermediate data using an asymmetric Slepian-Wolf encoder in order to generate compressed output data representing the input data. Similarly, a Wyner-Ziv decoder may be realized by: (1) applying an asymmetric Slepian-Wolf decoder to compressed input data using side information to generate intermediate values, and (b) jointly decoding the intermediate values using the side information to generate decompressed output data.","['341/67.', '341/56.', '341/51.']",['H03M7/30'],['H03M7/34'],"['US-5586331-A', 'US-2002110206-A1', 'US-2004119616-A1', 'US-6441764-B1', 'US-2005062623-A1', 'US-2006048038-A1', 'US-2002176494-A1', 'US-6263029-B1']",",",False
4,US-8565477-B2,20131022,US,44146123,Visual target tracking,A target tracking method includes representing a human target with a machine-readable model configured for adjustment into a plurality of different poses and receiving an observed depth image of the human target from a source. One or more push force vectors are applied to one or more force-receiving locations of the model to push the model in an XY plane towards a silhouette of the human target in the observed depth image when portions of the model are shifted away from the silhouette of the human target in the observed depth image. One or more pull force vectors are applied to one or more force-receiving locations of the model to pull the model in an XY plane towards the silhouette of the human target in the observed depth image when portions of the observed depth image are shifted away from the silhouette of the model.,"['382/103.', '382/106.', '382/154.']","['A63F2300/1012', 'G06T2207/30196', 'G06T2207/10028', 'A63F2300/1093', 'G06T7/251', 'A63F13/428', 'G06T2207/10016', 'G06K9/00201', 'A63F2300/6045', 'A63F2300/8029', 'A63F13/213']",['G06K9/00'],"['US-5913727-A', 'US-5563988-A', 'US-7113918-B1', 'US-7570805-B2', 'US-4925189-A', 'US-2009221374-A1', 'US-6765726-B2', 'US-6567536-B2', 'US-7852262-B2', 'US-6570555-B1', 'US-5703367-A', 'US-6077201-A', 'US-7379563-B2', 'US-5524637-A', 'US-6496598-B1', 'CN-201254344-Y', 'US-6128003-A', 'US-7702130-B2', 'US-4893183-A', 'US-2009280901-A1', 'US-7710391-B2', 'US-7598942-B2', 'US-7593552-B2', 'US-7729530-B2', 'US-7042440-B2', 'US-2009221368-A1', 'US-7274800-B2', 'US-5405152-A', 'US-2005031166-A1', 'US-7555142-B2', 'US-7620202-B2', 'US-7864181-B1', 'US-7746345-B2', 'US-6101289-A', 'US-8035624-B2', 'US-5288078-A', 'US-5690582-A', 'US-7003134-B1', 'US-2008212836-A1', 'US-2009085864-A1', 'US-7379566-B2', 'US-6283860-B1', 'US-2008137956-A1', 'US-2002164067-A1', 'US-2009027337-A1', 'US-7684592-B2', 'US-7536032-B2', 'US-6289112-B1', 'WO-2010038693-A1', 'US-2010183192-A1', 'US-7039676-B1', 'US-2008159620-A1', 'US-6256400-B1', 'US-5495576-A', 'US-6363160-B1', 'US-7809167-B2', 'US-7834846-B1', 'US-RE42256-E', 'US-2009198354-A1', 'US-5597309-A', 'US-2008106746-A1', 'US-6100896-A', 'US-6005548-A', 'US-5239463-A', 'US-2006274947-A1', 'US-6476834-B1', 'US-6215898-B1', 'US-6098458-A', 'US-5454043-A', 'US-2003144768-A1', 'US-6681031-B2', 'US-2009141933-A1', 'US-4817950-A', 'US-5229754-A', 'US-7060957-B2', 'US-2005215319-A1', 'US-5933125-A', 'US-4711543-A', 'US-6411744-B1', 'US-6873723-B1', 'US-7668340-B2', 'US-7852338-B1', 'JP-2002058045-A', 'US-7348963-B2', 'US-5617312-A', 'US-7050606-B2', 'US-2009228841-A1', 'US-5594469-A', 'US-6072494-A', 'US-2007298882-A1', 'US-7574020-B2', 'US-7760182-B2', 'US-4901362-A', 'US-7436496-B2', 'US-7704135-B2', 'US-5616078-A', 'US-7450736-B2', 'US-5101444-A', 'US-7460690-B2', 'US-2009244309-A1', 'US-2008001951-A1', 'US-7680298-B2', 'US-6801637-B2', 'US-8035614-B2', 'US-6188777-B1', 'US-5682229-A', 'US-7259747-B2', 'US-7421093-B2', 'US-5516105-A', 'US-6130677-A', 'US-7058204-B2', 'US-2008170776-A1', 'US-2006055706-A1', 'US-2007122001-A1', 'US-7576727-B2', 'US-7263209-B2', 'US-6919892-B1', 'US-2002041327-A1', 'US-7872653-B2', 'US-6054991-A', 'US-8035612-B2', 'US-7412077-B2', 'US-4627620-A', 'US-5148154-A', 'WO-2009086088-A1', 'US-6141463-A', 'US-6539931-B2', 'US-4796997-A', 'US-2005265583-A1', 'US-5889524-A', 'US-6152856-A', 'US-7389591-B2', 'US-4843568-A', 'EP-0583061-A2', 'US-6788809-B1', 'US-2009209343-A1', 'US-6308565-B1', 'US-6503195-B1', 'US-6009210-A', 'US-7222078-B2', 'US-5704837-A', 'US-5995649-A', 'US-2008079721-A1', 'US-2008152191-A1', 'US-6316934-B1', 'US-5877803-A', 'US-6226396-B1', 'US-4645458-A', 'US-4751642-A', 'US-7590262-B2', 'US-7996793-B2', 'US-6299308-B1', 'US-7116330-B2', 'US-7607509-B2', 'US-2009153474-A1', 'US-5980256-A', 'US-5239464-A', 'US-6640202-B1', 'US-5580249-A', 'US-6173066-B1', 'US-2008309664-A1', 'US-7683954-B2', 'US-8075942-B1', 'US-5638300-A', 'US-7701439-B2', 'US-6181343-B1', 'US-2009232353-A1', 'US-6950534-B2', 'US-7068815-B2', 'US-7038855-B2', 'US-4695953-A', 'US-6159100-A', 'US-7359121-B2', 'US-4630910-A', 'US-7308112-B2', 'US-7492367-B2', 'US-2002024517-A1', 'US-7489812-B2', 'US-5534917-A', 'US-6714665-B1', 'US-7227526-B2', 'US-7430312-B2', 'US-7098891-B1', 'US-7317836-B2', 'US-7202898-B1', 'US-6384819-B1', 'US-6731799-B1', 'US-2009175540-A1', 'US-2007286456-A1', 'US-6633294-B1', 'US-6073489-A', 'US-5641288-A', 'US-2007117625-A1', 'JP-2008537815-A', 'US-6430997-B1', 'US-7864180-B1', 'US-7965866-B2', 'US-5385519-A', 'US-2004155962-A1', 'US-5577981-A', 'US-5184295-A', 'US-5320538-A', 'US-6876496-B2', 'US-7170492-B2', 'US-4809065-A', 'US-5417210-A', 'US-7367887-B2', 'US-7104890-B2', 'US-6215890-B1', 'US-7560701-B2', 'CN-1764931-A', 'US-7184048-B2', 'US-6674877-B1', 'US-5423554-A', 'US-6229913-B1', 'US-2008026838-A1', 'US-7452275-B2', 'US-4702475-A', 'EP-1253558-A2', 'US-7372977-B2', 'US-2007159455-A1', 'US-2004193413-A1', 'US-8072470-B2', 'US-5347306-A', 'US-7257237-B1', 'US-5229756-A', 'US-5469740-A', 'US-5989157-A', 'US-5682196-A', 'WO-2008109567-A2', 'US-6147678-A', 'US-7036094-B1', 'US-7121946-B2', 'US-6066075-A', 'US-7898522-B2', 'US-6661918-B1', 'US-5295491-A', 'US-5715834-A', 'US-6738066-B1', 'JP-H0620055-A', 'US-6937742-B2', 'US-5875108-A', 'US-6256033-B1', 'US-2009154796-A1']",",",True
5,US-4610532-A,19860909,US,8190959,Toner dispensing control,"Toner dispensing control in xerographic printing, wherein a toner dispenser is controlled during a first period of use by means measuring the exposing radiation applied to the photoconductor, and during a further period of use by means responsive to the relative permeability of the toner mixture. Thus, over-tonering during the running-in period of a new toner mixture is avoided.","['399/58.', '399/43.']","['G03G15/0849', 'G03G15/0853']",['G03G15/08'],"['US-4032227-A', 'US-4260073-A', 'US-4190018-A', 'US-3409901-A', 'US-3529546-A', 'JP-S57146263-A', 'US-4468112-A', 'US-4210864-A', 'US-4342283-A', 'US-4413264-A']",",",False
6,US-2008262510-A1,20081023,US,39872990,Disposable Iontophoresis System and Tympanic Membrane Pain Inhibition Method,"Systems and methods for treating a patient having an ear canal and a target tissue function by positioning a fluid or gel in the ear canal, the fluid or gel comprising a therapeutic agent; retaining the fluid or gel with a support structure, the support structure supporting an electrode and a battery; and applying the agent from the fluid or gel to the target tissue by energizing the electrode with an iontophoresis potential from the battery.","['606/109.', '604/506.', '604/501.']","['A61F11/002', 'A61M31/00', 'A61F2230/0039', 'A61M2210/0662', 'A61N1/30', 'A61B2017/00787', 'A61B5/0077', 'A61F2250/0039', 'A61N1/306', 'A61F2230/0052']","['A61F11/00', 'A61M31/00']","['US-5026378-A', 'US-2009299344-A1', 'US-6645173-B1', 'US-D622842-S', 'US-2002026125-A1', 'US-2005235422-A1', 'US-D420741-S', 'US-6358231-B1', 'US-6251121-B1', 'US-2002069883-A1', 'US-5466239-A', 'US-6137889-A', 'US-2003060799-A1', 'US-5893828-A', 'US-D598543-S', 'US-5674196-A', 'US-5421818-A', 'US-6200280-B1', 'US-858673-A', 'US-5254120-A', 'US-D387863-S', 'US-7381210-B2', 'US-5792100-A', 'US-D424197-S', 'US-7344507-B2', 'US-5053040-A', 'US-3913584-A', 'US-2006155304-A1', 'US-7351246-B2', 'US-3948271-A', 'US-6522827-B1', 'US-5044373-A', 'US-D352780-S', 'US-4971076-A', 'US-D426135-S', 'US-5827295-A', 'US-3741197-A', 'US-4473073-A', 'US-4712537-A', 'US-3991755-A', 'US-D378611-S', 'US-5496329-A', 'US-6916159-B2', 'US-6475138-B1', 'US-3897786-A', 'US-6440102-B1', 'US-5261903-A', 'US-D595410-S', 'US-6770080-B2', 'US-4564009-A', 'US-D450843-S', 'US-2005182385-A1', 'US-D535027-S', 'US-2008262468-A1', 'US-6183469-B1', 'US-5643280-A', 'US-4468218-A', 'US-6045528-A', 'US-2002169456-A1', 'US-6245077-B1', 'US-2005240147-A1', 'US-2007233222-A1', 'US-D418223-S', 'US-2008051804-A1', 'US-7127285-B2']",",",False
7,US-8353621-B2,20130115,US,42171994,Bowl cooling jacket for mixers,"A cooling jacket for use with mixing bowls typically incorporated into industrial mixers is provided. This cooling jacket includes plurality of substantially parallel coolant channels formed from the material of the jacket, wherein each of the plurality of channels further includes a least one vertical portion and at least one horizontal portion, and wherein each horizontal portion further includes a plurality of parallel ridges and parallel valleys formed therein and running lengthwise therethrough.","['366/149.', '165/169.']","['A21C1/1495', 'B01F2015/061', 'B01F7/005', 'A21C1/06']",['B01F15/06'],"['US-1726458-A', 'US-4002200-A', 'US-4159740-A', 'US-6047558-A', 'US-2008151682-A1', 'US-4275568-A', 'US-6021816-A', 'US-2504465-A', 'US-2415711-A', 'US-2274220-A', 'US-3310106-A']",",",False
8,US-2014028716-A1,20140130,US,49994451,Method and electronic device for generating an instruction in an augmented reality environment,"A method for generating an instruction in an augmented reality environment includes capturing a series of reality images, each of which contains a portion of a hand, and a scene that includes at least one object-of-interest, recognizing the object-of-interest, generating an icon associated with an entry of object-of-interest data that is associated with the object-of-interest thus recognized, generating a series of augmented reality images by overlaying the icon onto the series of reality images, displaying the augmented reality images, recognizing a relationship between the portion of the hand and the icon, and generating an input instruction with reference to the relationship.",['345/633.'],"['G06F3/017', 'G06T11/00', 'G06T19/006']",['G06T19/00'],"['US-2014168056-A1', 'US-2013176202-A1', 'US-2012050324-A1', 'US-2012188396-A1', 'US-2012075341-A1', 'US-2015031301-A1', 'US-2011254861-A1', 'US-2013093787-A1', 'US-2015052479-A1', 'US-2013210523-A1', 'US-2014063055-A1', 'US-2013083063-A1', 'US-2012299962-A1', 'US-2012105474-A1', 'US-8810599-B1', 'US-2014361988-A1', 'US-2011273575-A1', 'US-2013222612-A1', 'US-2012069233-A1']","[0.14932492, -0.17686865, -0.055423185, -0.118003435, -0.28117684, -0.2596663, 0.035612453, -0.041177332, -0.05691242, 0.02011912, -0.10882735, 0.18123251, 0.1559211, 0.017349675, -0.14353506, 0.09932292, 0.07446456, 0.0458748, 0.05888333, 0.19715035, 0.10794445, 0.13712423, -0.06789505, 0.091048814, 0.06600665, -0.052161288, 0.32598466, 0.15164143, 0.15124355, 0.07522248, 0.19036727, -0.035093367, -0.13427584, -0.002113539, -0.16002813, -0.09283599, 0.21557914, -0.1299086, -0.059256826, 0.12969787, 0.017721219, -0.18299016, -0.04654708, 0.20517784, -0.08170945, -0.054450203, 0.13896935, 0.0841974, 0.064512745, -0.031563826, -0.048934188, -0.1038316, -0.0061724177, 0.041718196, -0.0769862, 0.14683118, 0.048761994, 0.13713247, -0.059488073, 0.017915271, -0.18628223, 0.12556869, -0.047848567, 0.073657304]",True
9,US-5908523-A,19990601,US,24625627,Method for recapping vehicle tires,"A method, apparatus and article of manufacture for tires in order to salvage used tire casings of tires and recap them with a better mechanical and chemical bond involving the use of hot water to accelerate the cure rate and uncured tire compound placed on the tire casing subjected subsequently to heat and pressure.","['425/17.', '156/909.', '156/125.', '264/328.3', '425/25.', '156/128.1', '156/96.', '425/24.']","['Y10S156/909', 'B29D30/54', 'B29D30/0678']","['B29D30/54', 'B29D30/06']","['US-5151148-A', 'US-3276930-A', 'US-4090901-A', 'US-3808076-A', 'US-4139592-A', 'US-4851063-A', 'US-3853666-A', 'US-4575438-A', 'US-3894897-A', 'US-4604256-A', 'US-1932692-A', 'US-4400342-A', 'US-5055148-A', 'US-4298321-A', 'US-4446093-A', 'US-3816217-A', 'US-2569935-A', 'US-3770858-A', 'US-2855629-A', 'US-5127811-A', 'US-3020190-A', 'US-3969179-A', 'US-4857122-A', 'US-4715577-A', 'US-4816198-A', 'US-2791805-A', 'US-4490325-A', 'US-3793420-A', 'US-4313909-A', 'US-4080230-A', 'US-4097565-A', 'US-2724425-A', 'US-4253513-A', 'FR-1508135-A', 'US-2066265-A', 'US-3847631-A', 'US-2744290-A', 'US-2873790-A']",",",False
