,publication_number,publication_date,country_code,family_id,title_text,abstract_text,uspc_code,cpc_code,ipc_code,refs,embedding_v1,valid
0,US-7578482-B2,20090825,US,35908759,Catalyzed decomposing structural payload foam,"A high energy, e.g., ultraviolet (UV), catalyzed decomposing foam encapsulating a payload to be boosted in space provides an ultra-light weight, adaptable means to facilitate survival of much lighter, smaller satellites and space hardware under boost environment. The decomposable foam is to contain multiple satellites within a booster payload in lieu of the traditionally heavy and complex structural framework. The catalyzed decomposing foam significantly lowers the weight and structure of all space hardware. This packaging system is especially beneficial where several or even hundreds of satellites are required for a constellation system, thereby significantly benefiting all technologies applied in space, ranging from the telecommunication industry to DOD applications. In addition to weight and cost savings, advantages of this foam are many in that it is adaptable to any payload shape as it may be injected, sprayed, formed, molded, easily cut or manufactured to support any geometry required.","['244/173.1', '244/171.7', '244/173.3', '401/96.', '252/363.5', '428/305.5']","['B64G2001/643', 'C08K5/14', 'B64G1/002', 'F42B15/08', 'B64G1/641', 'Y10T428/249954']",['B64G1/36'],"['GB-1430085-A', 'US-2002109047-A1', 'US-4076655-A', 'US-3863254-A']","[-0.08547254, -0.18341614, 0.04973566, 0.06705351, 0.17320733, 0.11979089, -0.027364854, -0.10284667, 0.12677665, -0.122667365, -0.0047319415, 0.007008724, 0.18214233, -0.032561637, -0.037175473, 0.18305294, 0.13745236, 0.16399151, -0.18789695, 0.17886731, -0.22232488, 0.0641827, -0.14263234, -0.13605487, 0.16124904, -0.09784907, -0.010065114, 0.07405642, 0.093944624, 0.055457316, 0.12852444, 0.0047394577, -0.0353257, 0.011554807, -0.04409231, 0.1487114, -0.008234836, -0.084054604, 0.074974746, 0.20999108, 0.07539608, -0.16494225, 0.171342, -0.25963342, -0.15653889, 0.15891258, 0.021392563, 0.024519568, -0.04716427, 0.13149492, -0.12829621, 0.047872685, -0.014810148, -0.14567035, 0.116262875, -0.18178925, -0.023448981, -0.14085048, 0.073128745, 0.19173482, 0.006849333, 0.21657455, -0.021049056, 0.20510426]",True
1,US-6937560-B2,20050830,US,27758026,Method and apparatus for selectively accelerating network communications,"A method and apparatus for selectively accelerating network communications provides improved operation of network communications through channels with long delays, such as a satellite communications channel. A configuration management mechanism provides a selection of acceleration configuration for particular addresses of devices that may communicate through the communications channels. Acceleration may be bypassed for particular addresses or classes of devices within the network and priorities may be assigned, permitting a cut-off of acceleration when a threshold number of sessions is reached. The method and system may also allow a higher priority class of session to preempt lower priority session by removing resources from the lower priority session and assigning them to the higher priority session. The data rate of the lower priority session is then lowered (due to the absence of acceleration or reduced buffer size) to reduce traffic flow.","['370/229.', '370/395.42']","['H04L69/163', 'H04L69/161', 'H04L29/06', 'H04L69/329', 'H04L67/322', 'H04L69/16']","['H04L29/06', 'H04L29/08']",['US-6327364-B1'],",",True
2,US-3971923-A,19760727,US,27030955,Ramp function generator,A control circuit having a digital memory for providing sweep voltages to ceivers in a doppler satellite tracking station of proper amplitude and duration to ensure searching in the correct doppler frequency range. An internally generated ramp function voltage is combined with a reference voltage to produce a composite sweep signal for the receiver. The reference voltage level is determined either from a set of digi-switches or from a digital memory circuit which outputs a digital signal that is a function of the frequency of a received doppler signal.,"['327/135.', '708/8.']","['G01S13/66', 'G01S13/586', 'H03K4/48', 'G01S11/10']","['G01S13/58', 'G01S13/66', 'H03K4/48', 'G01S11/10']","['US-3882486-A', 'US-3577084-A', 'US-3885138-A', 'US-3657558-A', 'US-3662160-A']",",",True
3,US-2008243906-A1,20081002,US,39796132,Online system and method for providing geographic presentations of localities that are pertinent to a text item,Content may be rendered from a network with the inclusion of supplemental geographic information. A text content from a content item is analyzed in order to make a determination as to one or more localities that are identified or relevant to the text. A geographic presentation may be provided with the rendered content using the determination of the one or more localities.,"['707/999.102', '1/1.', '707/E17.082', '707/E17.013', '707/E17.121']","['G06F17/30905', 'G06F17/30855', 'G06F17/30882']",['G06F17/30'],"['US-2008208847-A1', 'US-7299055-B1', 'US-2002120544-A1', 'US-2008172173-A1', 'US-2007242131-A1', 'US-5945985-A', 'US-2006085392-A1', 'US-2008010605-A1']",",",False
4,US-2008016202-A1,20080117,US,38950544,Network for targeting individual operating a microcomputer regardless of his location,"A network adapted to target an individual operating a microcomputer that is linked to an Internet to offer this individual goods or services appropriate to his needs that are available at a place within reach of the individual&#39;s present location. The microcomputer is provided with a GPS receiver that indicates the present location of the individual, this location and the identity of the individual being transmitted from the microcomputer to a web site on the highway. At the web site, a computer associated with a data bank storing the profiles of a multitude of consumers is programmed to find out whether the identified individual is included in the data bank, and to determine from his profile whether there are available at a place reachable from his present location appropriate goods or services. If a match is found, an offer to supply such goods or services is conveyed from the web site to the microcomputer.",['709/223.'],"['G06Q30/0207', 'G06Q30/0239', 'H04W4/02', 'G06Q30/0601', 'G06Q30/02', 'H04L67/306', 'G06Q30/0269', 'G06Q30/0242', 'H04W4/20', 'H04W4/18', 'G06Q30/0261', 'H04L67/18']","['G06F13/00', 'G06F15/173', 'H04L29/08']","['US-6018724-A', 'US-6115724-A', 'US-6208866-B1', 'US-5959577-A', 'US-6055513-A', 'US-6324650-B1', 'US-6510418-B1', 'US-6571279-B1', 'US-5994735-A', 'US-5852775-A', 'US-6055504-A', 'US-6370650-B1', 'US-6332127-B1', 'US-6381465-B1', 'US-6552682-B1', 'US-6677894-B2', 'US-6101486-A', 'US-6647257-B2', 'US-6889054-B2', 'US-6018657-A', 'US-6608556-B2', 'US-6754485-B1', 'US-6664922-B1', 'US-6636733-B1', 'US-6826554-B2', 'US-6868392-B1', 'US-6014090-A', 'US-5948061-A', 'US-6405126-B1', 'US-5649300-A', 'US-6115754-A', 'US-6505046-B1', 'US-5754933-A', 'US-7020685-B1', 'US-6912398-B1', 'US-6199045-B1']",",",False
5,US-2004029583-A1,20040212,US,18951290,Position measuring method and mobile communication terminal,"Each time mobile communication terminal  10  moves a distance of 150 kilometers, it computes its approximate position by performing a stand-alone position measurement, and stores the approximate position. When mobile communication terminal  10  needs to precisely measure its location it notifies position measurement assist server  30  of the stored approximate position, to thereby perform a GPS position measurement operation by using satellite capturing data transmitted, accordingly, from position measurement assist server  30.","['342/357.43', '455/427.']",['G01S19/06'],"['G01S19/12', 'G01S19/03', 'G01S19/25', 'G01C21/00', 'G01C21/28', 'G01S1/00', 'G01S19/06', 'G01S19/48']","['US-2002154058-A1', 'US-2005043038-A1', 'US-6070078-A', 'US-5832381-A', 'US-2003027582-A1', 'US-6411811-B2', 'US-6429808-B1', 'US-5999125-A', 'US-2002173909-A1', 'US-6539230-B2', 'US-2003151547-A1', 'US-5581261-A', 'US-6438382-B1', 'US-6480149-B1']",",",False
6,US-7398057-B2,20080708,US,28675625,Security messenger system,"The invention provides a communication and control system and method including a portable control and display unit, such as a portable handheld pocket PC, an aircraft mounted integrated Global Positioning System (GPS) satellite receiver, a VHF radio modem, an Aircraft Communication and Reporting System (ACARS) transceiver, a backup battery for power, and a camera aboard the aircraft which is controlled by the portable control and display unit. The control and display unit transmits and receives data messages, voice communication and video communication, and control the operation and functions of the camera while in flight or on the ground. The control and display unit also communicates as a cell phone.","['340/961.', '455/431.', '709/246.', '701/33.2', '455/456.1', '725/105.', '709/230.', '455/456.6', '455/456.2', '455/68.', '455/456.4', '348/143.', '348/E07.085']","['G08B25/016', 'G08B13/19684', 'B64D45/0015', 'B64D2045/0035', 'G08B13/1965', 'G08B13/1966', 'H04N7/18', 'H04B7/18506', 'B64D47/08', 'B64D2045/0045']","['H04Q7/20', 'G08B25/01', 'B64D45/00', 'H04N7/18', 'B64D47/08']","['US-2003062447-A1', 'US-2003065428-A1', 'US-2002004411-A1', 'WO-0103437-A1', 'US-5742336-A', 'GB-2347586-A', 'US-6308044-B1', 'US-5828373-A', 'US-6366311-B1', 'US-5798458-A', 'US-2003109973-A1', 'US-5920807-A', 'US-2004008253-A1', 'US-6385513-B1', 'US-2003094541-A1', 'US-6246320-B1', 'US-6009356-A', 'US-2003093798-A1', 'US-2006167598-A1', 'US-6393297-B1', 'US-5761625-A', 'GB-2320992-A', 'US-6173230-B1', 'US-6657578-B2', 'US-6353779-B1', 'US-6400945-B1', 'US-6275767-B1', 'US-2003003872-A1', 'US-2003041155-A1', 'US-6384783-B1', 'US-5809402-A', 'GB-2350972-A', 'US-6023239-A', 'US-6384778-B1']",",",False
7,US-2013250104-A1,20130926,US,49211435,Low cost satellite imaging method calibrated by correlation to landsat data,"A method for augmenting Landsat-based image data providing a satellite at an orbital altitude lower than an orbital altitude of a Landsat imaging satellite; providing a set of multispectral imaging devices arranged on the satellite configured to image a terrestrial swath larger than a standard Landsat image swath, configured to always image when orbiting over cloud-free terrestrial surfaces and descending node defined along a northeast to southwest trajectory so as to correspond to Landsat archive data; synchronizing image data from at least four visible bands and a near-infrared band with a first resolution with image data from a shortwave infrared band with a second resolution; retracing the imaged terrestrial swath for one or more iterations; downlinking image data to a ground station being formatted in accordance with a data format; compositing the synchronized image data to create a cloud-free image and periodically cross-calibrating it with Landsat-based image data.","['348/144.', '348/E07.085']","['G06T3/4061', 'B64G2001/1028']",['H04N7/18'],"['US-5719949-A', 'US-6807398-B1', 'US-8548248-B2', 'US-5592518-A', 'US-2004043725-A1', 'US-4678911-A', 'US-6211906-B1', 'US-2008158049-A1', 'US-7139525-B2', 'US-6356646-B1', 'US-5966640-A', 'US-7773551-B1', 'US-8189877-B2', 'US-2011115902-A1', 'US-6241192-B1', 'US-5790188-A', 'US-8509476-B2', 'US-8427536-B2', 'US-4590607-A', 'US-5790567-A', 'US-4495416-A']",",",True
8,US-8625527-B2,20140107,US,36587551,Method and system for maintaining session continuity when changes occur at the terminal during a session,"A method and a system for maintaining session continuity, in which the system includes a Handover Source Function (HOSF), a Handover Destination Function (HODF), a Handover Anchor Function-Control Plane (HOAF-CP) and a Handover Anchor Function-User Plane (HOAF-UP). The method includes a first user establishing a connection through the HOSF with the HOAF-CP and the HOAF-UP which correspond to a second user, so as to establish a session with the second user. The method further includes that, during session handover, the HODF that corresponds to the HOSF establishing another connection with the HOAF-CP and HOAF-UP though which the first user continues the session with the second user, so as to maintain the session continuity. When access address or access technology of the terminal changes, or even the terminal changes during a session, the method and the system can logically replace the connection before the handover with a new connection to ensure the session continuity.","['370/331.', '455/456.6', '455/442.', '455/456.1']","['H04L65/1016', 'H04W92/02', 'H04W36/0022', 'H04L65/1083', 'H04W92/22']","['H04W92/02', 'H04W80/10', 'H04W80/04', 'H04W92/22', 'H04W88/06', 'H04W36/14']","['US-2004246990-A1', 'US-7583625-B2', 'US-6861980-B1', 'US-2007153675-A1', 'US-2001009544-A1', 'US-2007104205-A1', 'US-2004242227-A1', 'US-2006126565-A1', 'US-7512336-B1', 'US-6975864-B2', 'US-2001033563-A1', 'WO-02104057-A1', 'US-6236359-B1', 'US-2003016654-A1', 'US-2002035699-A1', 'CN-1545818-A', 'US-2007281699-A1', 'US-2003050077-A1', 'WO-2004025930-A1', 'US-2003103496-A1']",",",False
9,US-6782330-B1,20040824,US,32869931,Satellite signal waveform monitor,"The present invention is a system for providing GPS users with a high level of confidence in the integrity and accuracy of received GPS signals. A waveform monitor allows the GPS satellite to verify the integrity of its transmitted signal by detecting its own transmitted waveform. The waveform monitor includes a receiver mounted in the GPS satellite. The receiver receives the GPS signal transmitted by the GPS satellite. The waveform monitor then compares the received GPS signal with a copy of what the GPS satellite intended to send which is stored in memory. The waveform monitor can compare the received digital navigation message with the copy stored in memory, and/or compare the received RF waveform with waveform data stored in memory. The waveform monitor thereby determines whether the transmitted signal has integrity. The GPS satellite then sends an integrity message to GPS users to inform the GPS users of the integrity of received GPS signals from that satellite.","['342/357.44', '701/469.', '342/357.48', '702/66.', '342/357.71', '342/357.49']","['G01S19/08', 'G01S19/02']","['G01S19/12', 'G06F19/00', 'G01S19/07', 'G01S19/11', 'G01S19/31', 'G01S1/00']","['US-6154170-A', 'US-5583774-A', 'US-5864319-A', 'US-5969670-A', 'US-6157817-A', 'US-4754496-A', 'US-6462707-B1', 'US-5490076-A', 'US-2002077731-A1', 'US-5396255-A', 'US-6201953-B1', 'US-5768689-A', 'US-2003017827-A1', 'US-5663732-A', 'US-3697876-A', 'US-6006112-A', 'US-6324484-B1']","[-0.14018792, -0.015626997, -0.05047282, -0.061730437, -0.007200528, 0.021434922, 0.042349562, -0.035898123, 0.12159356, -0.118107386, -0.17844072, 0.17808749, 0.0256086, -0.10522129, 0.09460477, 0.13543381, 0.15167683, -0.0014776919, -0.26140046, 0.18012978, 0.18992013, -0.083230644, 0.043018397, -0.06177923, 0.02422131, 0.01829284, 0.013608075, 0.30974886, 0.19144312, -0.12974031, 0.038040042, -0.2014234, -0.14163943, 0.08455702, 0.06273132, 0.12492597, 0.048168622, -0.24028356, 0.033129457, 0.1392327, -0.15473694, -0.08841793, -0.1041705, 0.091490716, 0.10140242, -0.060222805, -0.0068958094, 0.11491663, -0.054048322, 0.025334643, -0.11256407, -0.059181653, 0.0073384554, 0.1031721, 0.14467949, -0.052787215, 0.13186184, 0.09824702, -0.10644769, 0.09198827, -0.053520672, 0.29805166, -0.26113167, 0.086750485]",True
