,publication_number,publication_date,country_code,family_id,title_text,abstract_text,uspc_code,cpc_code,ipc_code,refs,embedding_v1,valid
0,US-2008173533-A1,20080724,US,39640183,Process and method of making space-solar fuels and other chemicals,"Processes and methods of making fuels and other chemicals, in conjunction with electricity production, using energy from a powerbeam ( 120 ) from an orbiting satellite ( 100 ), radiant energy receivers ( 310 ) and thermochemical process systems. Includes methods of directing the powerbeam so that, when solar energy  110 ) is available to drive the concentrators ( 170 ), the powerbeam is chiefly focused on rectenna structures ( 220 ) for the production of electricity, and then is reconfigured so that it powers the concentrator structures when solar energy is not available.",['204/157.15'],"['C01B3/042', 'Y02P20/134', 'B01J19/0093', 'B01J2219/00943', 'C01B2203/0211', 'F24S20/20', 'F28F2260/02', 'C01B2203/0855', 'C01B3/12', 'C01B2203/062', 'C01B2203/068', 'B01J2219/00835', 'C01B2203/0283', 'B01J19/127', 'Y02E10/42', 'C01B13/0207', 'C10G2/32', 'Y02E10/41', 'Y02E60/364', 'F24S23/71', 'C01B3/32', 'F24S2023/874', 'B01J2219/00873']","['C25B1/00', 'C25B3/00']","['US-4668494-A', 'US-4552741-A', 'US-7384619-B2', 'US-2006013765-A1', 'US-4342738-A', 'US-6872378-B2', 'US-2007140955-A1', 'US-4696809-A', 'US-2007148084-A1', 'US-2008256952-A1', 'US-6521205-B1', 'US-4405594-A', 'US-4391793-A', 'US-2004105812-A1', 'US-5397559-A', 'US-7033570-B2']",",",False
1,US-8024075-B2,20110920,US,40720591,System and method for wireless irrigation utilizing a centralized control server and field module matrix,"The invention is a centralized server-based system containing a database with relevant information regarding features, parameters, and characteristics of a particular irrigation system, which utilizes proprietary irrigation software to control a plurality of field modules, at one or more remote locations, via a network bridge adapter. An irrigation system may comprise a single server, or multiple servers that may be configured so that control of the entire system is centralized, and control of one or multiple irrigation locations may be accomplished remotely by wirelessly accessing, monitoring and controlling a location&#39;s field module matrix.","['239/69.', '239/63.', '700/284.', '700/283.']","['B05B12/12', 'A01G25/16', 'G05B15/02']","['A01G27/00', 'G05D11/00']","['WO-2004091286-A2', 'WO-03024198-A1', 'US-7317972-B2', 'WO-9003724-A1', 'US-7123993-B1', 'US-2005137752-A1', 'US-2006122736-A1', 'US-7412303-B1', 'US-2010152909-A1', 'US-4567563-A', 'US-7917249-B2', 'US-2005156068-A1', 'US-6997642-B2', 'WO-0101752-A2', 'US-7146254-B1', 'US-6708084-B2', 'US-7584023-B1', 'US-7400944-B2', 'US-2005085928-A1', 'US-2009271044-A1', 'US-5870302-A', 'US-2004225412-A1', 'US-2007162188-A1', 'US-6600971-B1', 'US-2009204265-A1', 'US-2008129495-A1', 'US-7789321-B2', 'US-2004064217-A1', 'US-7403840-B2', 'US-2006272830-A1', 'US-2007185660-A1', 'US-7010396-B2', 'US-6098898-A', 'US-2004100394-A1', 'US-6597991-B1', 'US-6782310-B2', 'US-2009281672-A1', 'US-2009007706-A1', 'US-6314340-B1', 'US-7050887-B2', 'US-7805221-B2', 'US-7182272-B1', 'US-6895987-B2', 'US-5479339-A', 'US-7266428-B2', 'US-5740031-A', 'US-2006161309-A1', 'US-7286904-B2', 'US-7257465-B2', 'US-2004090329-A1', 'US-7328089-B2', 'US-2006209789-A1', 'US-2007106426-A1', 'US-5251153-A', 'US-2011077785-A1', 'US-7788970-B2', 'US-2011093123-A1', 'US-5621669-A', 'US-7216659-B2', 'US-2001049563-A1', 'US-7596429-B2', 'US-7003357-B1', 'US-6823239-B2', 'US-2010312404-A1', 'US-7010395-B1', 'US-7877168-B1', 'WO-2004040415-A2', 'US-7769494-B1', 'US-7853363-B1']",",",False
2,US-2007186837-A1,20070816,US,28460167,Buoyancy control system,"The present invention relates to a buoyancy control system, and in particular to a buoyancy control system for controlling the buoyancy of an underwater submersible. The buoyancy control system comprises a buoyancy chamber ( 5 ) having a seawater inlet ( 5 A) and a seawater outlet ( 11 A), a power supply( 31 ) used to power at least one electrical component of the system, and a hydraulic system for pumping seawater from the chamber through the outlet. The hydraulic system comprises a hydraulic pump ( 28 ) and a pressure multiplier ( 34 ), the hydraulic pump for applying pressure to the pressure multiplier, and the pressure multiplier for increasing the pressure applied thereto by the hydraulic pump, and for applying the increased pressure to seawater from the chamber to thereby pump out the seawater.",['114/333.'],['B63G8/22'],['B63G8/22'],"['US-4123858-A', 'US-4266500-A', 'US-2867088-A', 'US-6371041-B1', 'US-2003075096-A1', 'US-3520263-A', 'US-5588808-A', 'US-6729857-B2']","[-0.13181353, -0.29888704, -0.20099097, 0.12218203, 0.098305695, 0.022247018, 0.09346919, -0.09964426, -0.030003179, -0.04638027, -0.08137607, 0.0035800366, 0.035167534, 0.08700014, -0.13922124, 0.14577237, 0.044601105, -0.00868169, -0.048754264, 0.3098833, -0.046159387, -0.060397442, -0.15835012, -0.10424613, 0.36507112, -0.051054463, -0.03212804, 0.034198493, -0.042900417, -0.055102434, 0.077878416, 0.024752771, -0.03135809, -0.026448319, -0.06924565, -0.1594773, 0.11718852, -0.33616003, 0.0040169666, 0.1258972, -0.0820239, -0.057293385, -0.007568852, -0.057661176, -0.04139899, -0.008381655, 0.16977042, 0.062132437, 0.048227508, -0.06508733, 0.0794053, -0.111884475, 0.06470065, -0.07122665, 0.10039823, -0.038210526, 0.022442138, -0.15220867, 0.19695504, -0.03707398, 0.1550439, 0.26502076, -0.12207116, 0.12890837]",True
3,US-2013239863-A1,20130919,US,43464381,"Tethered tow body, communications apparatus and system","The problem of providing a submerged vehicle with above-the-surface communications to a nearby vessel, shore platform, or satellite while traveling at operating speed is solved by an efficiently deployable tethered tow body having a hydrodynamic and buoyant hull body and incorporating a lift-generating wing that provides hydrodynamic lift to efficiently lift the tow body containing antennas and other communications devices to the surface. The tow body allows for stable operation during underwater tow, surface tow, and transitions between underwater tow and surface tow. Disclosed embodiments include communications apparatuses encompassing the principles of the tethered tow body, as well as various underwater systems that incorporate a tethered tow body or communications apparatus for establishing communications with a nearby vessel, shore platform, or satellite.",['114/244.'],"['H01Q1/34', 'B63B21/66', 'H01Q1/04', 'B63B1/16', 'B63G8/42']",['B63B21/66'],"['US-8813669-B2', 'US-5964175-A']","[-0.18291883, -0.1508922, 0.02260778, -0.11651114, -0.07890437, -0.12853199, -0.0042223698, -0.11713647, 0.025303578, -0.11936085, -0.11706539, 0.19621336, 0.068420716, 0.038085, -0.04867857, 0.1458201, 0.14089906, 0.16820623, -0.36603856, 0.23981357, -0.17969821, -0.024456866, -0.27570015, 0.08738251, 0.22578685, -0.061502412, 0.043825783, 0.0053802324, 0.01393987, 0.008837935, 0.03989247, -0.060402006, -0.03883627, -0.0011725362, -0.15057062, 0.008505337, 0.040741585, -0.29550582, -0.19457355, 0.11366938, 0.019214738, 0.0745847, -0.08967108, -0.034684792, 0.04839326, -0.08813153, 0.044736512, 0.15791428, -0.104601435, 0.035756424, -0.04265735, -0.029851034, -0.12868269, 0.11694237, -0.04992435, -0.015343172, 0.09901651, -0.0088158045, 0.15977803, -0.034011185, 0.14814197, 0.2021177, -0.068648614, 0.09865577]",True
4,US-5826195-A,19981020,US,24813059,Data messaging in a communications network,"A messaging unit (16) equipped with a cellular transceiver (38) is attached to a truck trailer (12) or a monitoring station (13) located within a communications network (10). The messaging unit (16) generates a data message in response to the occurrence of a reporting event. Upon generation of a data message, the cellular transceiver (38) transmits the data message over the network (10) via voice or data channels. Data messages may be sent over a data channel of the network (10) by altering the mobile identification number (MIN), electronic serial number (ESN), or other identifier of the cellular transceiver (38).","['455/457.', '455/450.', '455/412.2', '455/456.1', '455/456.3']","['Y02B90/242', 'H04W4/00', 'G08G1/20', 'H04W4/02', 'G07C5/008', 'Y04S20/42', 'G08G1/127', 'Y02B90/246', 'G01D4/004', 'Y04S20/322', 'H04B7/18558', 'H04W4/12']","['H04B7/185', 'H04W4/00', 'G01D4/00', 'H04W4/02', 'G08G1/127', 'G08G1/123', 'G07C5/00', 'H04W4/12']",[''],",",False
5,US-7479877-B2,20090120,US,34222570,"Method and system for utilizing multiple sensors for monitoring container security, contents and condition","A container and contents monitoring system includes a device, a reader, a server, a software backbone and a receptacle for housing a plurality of sensors. The device communicates with the plurality of sensors and the reader in order to determine the condition of the container and its contents. The reader transmits the information from the device to the server. The device determines if a container condition has occurred based on at least one sensor located on or in the container.","['340/539.13', '340/545.6', '340/541.', '340/438.', '340/431.']","['G01S19/14', 'G01S5/02', 'G01S19/35', 'G07C2009/0092', 'G08B21/18', 'G07C9/00', 'G06Q10/06', 'G08B21/02', 'G06Q10/047']","['G01S5/14', 'G01S5/02', 'G01S19/35', 'G08B21/18', 'G07C9/00', 'G06Q10/00', 'G08B21/02']","['US-4750197-A', 'US-2004233041-A1', 'WO-9933040-A1', 'US-2004119588-A1', 'US-5341123-A', 'US-5499014-A', 'JP-H11246048-A', 'US-6724303-B2', 'US-6133842-A', 'US-2004164870-A1', 'US-2005151643-A1', 'US-2005073406-A1', 'US-2005179545-A1', 'WO-2005008609-A1', 'US-5072212-A', 'US-6745027-B2', 'US-2005134457-A1', 'EP-0748083-A1', 'US-6266008-B1', 'US-4808974-A', 'EP-1182154-A1', 'EP-0704712-A1', 'US-5959568-A', 'US-6069563-A', 'US-5448220-A', 'US-5712789-A', 'US-2004189466-A1', 'US-7034677-B2', 'JP-2002039659-A', 'US-2002180586-A1', 'WO-9938136-A2', 'WO-0070579-A1', 'RU-2177647-C1', 'US-5347274-A', 'US-6687609-B2', 'EP-1063627-A2', 'WO-02077882-A1', 'US-4849927-A', 'US-7098784-B2', 'US-6483434-B1', 'US-2004073808-A1', 'GB-2254506-A', 'US-2007008107-A1', 'US-6381977-B1', 'US-2004041706-A1', 'WO-0225038-A2', 'US-5475597-A', 'US-4688244-A', 'US-5686888-A', 'EP-1246094-A1', 'DE-19704210-A1', 'US-6400266-B1', 'US-5565858-A', 'US-2004196152-A1', 'US-5189396-A', 'US-2004227630-A1', 'US-5097253-A', 'US-4897642-A', 'US-5602526-A', 'US-6788203-B1', 'US-5929778-A', 'US-2004056767-A1', 'US-2007040673-A1', 'EP-0649957-A2', 'US-7034683-B2', 'US-5355511-A', 'US-6737962-B2', 'US-2004113783-A1', 'US-6480096-B1', 'US-6211907-B1', 'US-2001030599-A1', 'WO-03023439-A2', 'US-2005110635-A1', 'US-5577696-A', 'US-2005154527-A1', 'US-7317387-B1', 'US-7154394-B2', 'US-2004066328-A1', 'US-4438428-A', 'US-5831519-A', 'BE-1012912-A6', 'US-2003227382-A1', 'US-6577921-B1', 'US-6437702-B1', 'US-7081816-B2', 'WO-0133247-A1', 'DE-19534948-A1', 'WO-2004009473-A1', 'US-6665585-B2', 'JP-2001261159-A', 'US-5939982-A', 'US-7019640-B2', 'WO-2004066236-A1', 'DE-19504733-A1', 'US-5828322-A', 'US-7315246-B2', 'US-6747558-B1', 'WO-02089084-A1', 'US-6753775-B2', 'GB-1055457-A', 'US-2004041705-A1']",",",False
6,US-6957579-B1,20051025,US,35115147,Cavity wall measurement apparatus and method,"A method of measuring the vapor-liquid boundary surrounding a supercavitational high speed underwater vehicle includes the steps of arranging a sensor on a surface of the vehicle. The sensor has a transmit source for emitting an optical signal and a plurality of optical detectors for receiving a reflected optical signal. The reflected optical signal is detected with one of the optical detectors, and a duration of time between the emitting of the optical signal and the receiving of the reflected optical signal is measured. The method determines a separation distance from the transmit source to the receiving optical detector. The duration of time and the separation distance are combined to compute a boundary distance.",['73/170.02'],"['B63B1/38', 'G01B11/026', 'Y02T70/122']","['G01P13/00', 'G01B11/02', 'B63B1/38']","['US-5581232-A', 'US-5604580-A', 'US-5600561-A', 'US-5808728-A', 'US-6072421-A', 'US-2003127588-A1', 'US-5504569-A']","[-0.21896961, 0.11461298, -0.02563048, -0.17638998, -0.026094861, -0.079756305, 0.045700893, 0.004809923, 0.069047116, -0.19322953, -0.09473848, 0.24925752, 0.23502217, -0.31417906, -0.0031721154, 0.04744664, 0.014761914, 0.097343676, -0.2524816, 0.17346004, 0.13127632, -0.0862788, -0.03931096, 0.08780891, 0.06190156, 0.062260237, 0.17054456, 0.15126607, 0.0015477918, 0.19066411, 0.14568195, -0.083271526, 0.059802208, 0.07521163, 0.032923207, 0.015749536, 0.10404337, -0.32892767, 0.051244278, 0.14550681, -0.024213988, -0.08721398, -0.12152231, 0.11592223, -0.045681037, -0.10321328, -0.008281714, 0.05661797, 0.0048906766, 0.056609944, 0.04523693, -0.19065723, -0.1320623, 0.021458076, -0.0759469, 0.08109853, 0.109402925, 0.102466665, 0.029705247, 0.045027032, 0.037702266, 0.16605093, -0.17397214, -0.0679963]",True
7,US-6577556-B2,20030610,US,25519476,Free-floating altitude stabilized system,A free-floating altitude stabilized system is provided. Independently energizable wire coils are linearly aligned with one another in a vertical direction on a buoyant body. An induced magnetic field is generated by any of the wire coils that are energized. A float housing a magnet is coupled to the body in such a way that it is capable of independent movement relative thereto. A control system energizes a selected one or more of the wire coils in such a way the magnet&#39;s magnetic field and wire coil&#39;s induced magnetic field react with one another to generate movement of the float vertically in a direction that is the same as a vertical component of wave motion.,"['367/4.', '367/12.']",['H04B5/0087'],['H04B5/00'],"['US-5020032-A', 'US-4107804-A']","[-0.14537477, -0.08861311, -0.05383641, 0.093352936, 0.0371205, -0.093171686, 0.07402503, -0.015682328, 0.22172248, -0.13397624, -0.23216039, 0.075048074, 0.022339, 0.077815175, 0.036045425, 0.1374197, 0.18250102, 0.15069366, -0.1993235, 0.21202748, -0.08872029, -0.06549872, -0.27702188, 0.10261027, 0.24012607, -0.0054230504, 0.144435, 0.09958436, -0.032934416, -0.046694722, 0.15806992, -0.10762219, -0.07682855, -0.06875088, -0.24156147, -0.10524538, 0.1316394, -0.20774314, 0.07766577, 0.1355618, -0.056378055, -0.15733147, -0.048134994, 0.040930353, 0.054320596, 0.058745548, -0.0075895092, 0.13334042, 0.063185036, -0.10315299, 0.03145213, -0.075354755, -0.0060174027, 0.09110598, 0.19156781, 0.022287434, -0.03670691, 0.040775415, 0.24817073, -0.04260327, 0.04806999, 0.24660802, -0.06478974, 0.010843808]",True
8,US-2012118217-A1,20120517,US,43902779,Unmanned underwater vehicle and method for recovering such vehicle,"An unmanned underwater vehicle and a method for recovering an unmanned underwater vehicle. The unmanned underwater vehicle ( 1 ) is recovered by releasing a recovery buoy ( 21 ), which is connected to the vehicle ( 1 ) by a recovery line ( 22 ), recovering the recovery buoy ( 21 ) from the surface, attaching the recovery line ( 22 ) to a recovery system and lifting the vehicle ( 1 ) by the recovery system and the recovery line ( 22 ). To provide a safe recovery of the unmanned underwater vehicle under most weather condition, the vehicle ( 1 ) is submerged after releasing the recovery buoy ( 21 ) by reducing the buoyancy of the vehicle ( 1 ) and providing negative net-buoyancy ( 29 ).",['114/326.'],"['B63B27/36', 'B63G8/001']",['B63G8/00'],"['US-3175525-A', 'US-2009107388-A1', 'US-7028627-B2', 'US-7083487-B2', 'US-4919065-A', 'US-2682245-A', 'US-3367297-A']","[-0.070013225, -0.1806502, 0.025961865, 0.0040363274, 0.032146532, 0.03516339, 0.09998291, -0.12999211, -0.067461275, -0.0021864385, -0.11579722, 0.055268586, 0.15286861, 0.0435913, -0.0915931, 0.2284999, 0.038615644, 0.027378885, -0.25538644, 0.20722406, -0.11019846, -0.05095747, -0.34032285, -0.15835838, 0.2921825, -0.1352643, -0.061784305, -0.044465087, 0.024752783, 0.030090148, 0.20295192, 0.021528168, -0.124551035, 0.05528358, -0.06137178, -0.06775975, -0.022795407, -0.24054408, 0.0689005, 0.24626645, 0.095378704, 0.012672224, -0.1310436, -0.04864216, -0.0062481062, -0.15075453, 0.04344931, 0.14291124, 0.080818504, 0.0038570408, -0.018743645, -0.17274007, -0.011516759, -0.045758806, -0.002642005, -0.050180674, 0.10258974, -0.064054914, 0.19928795, 0.10187353, 0.020223135, 0.13096173, -0.06643249, 0.2329907]",True
9,US-2005143052-A1,20050630,US,25290605,Profiles for information acquisition by devices in a wireless network,"A mobile telephone ( 10 ), an advertiser, broadcasts an advertisement over a wireless short range piconet link to another mobile telephone ( 12 ), a consumer. The advertisement is broadcast with a predetermined set of classification tags and the consumer phone ( 12 ) has a filter set to accept only certain adverts. When an advertisement of interest is received by the consumer phone ( 12 ) it requests further details automatically via the piconet link and the advertiser phone ( 10 ) provides then automatically via the piconet link. When the consumer wishes to reply to the advertisement they contact the advertiser phone ( 10 ), or an advertiser device, via a long range cellular link ( 16 ).","['455/414.1', '705/14.72', '705/14.66', '705/14.54', '705/14.64']","['G06Q30/02', 'G06Q30/0256', 'G06Q30/0269', 'G06Q30/0267', 'G06Q30/0276']","['G09F19/00', 'H04M3/487', 'G06Q30/02', 'H04M3/42']","['US-6526275-B1', 'US-2002028674-A1', 'US-2002193122-A1', 'US-6816881-B1', 'US-6549625-B1', 'US-6091956-A', 'US-6532368-B1', 'US-6587835-B1', 'US-6898445-B2', 'US-6757262-B1', 'US-6535132-B2', 'US-6782253-B1', 'US-2002077896-A1', 'US-6754484-B1', 'US-6650871-B1']",",",False
